product,kuantitas_terjual,jumlah_transaksi,produk_rusak,sisa_produk,sisa_produk_awal,sisa_produk_akhir,tor,wsp
OBH Anak Straw 55 ml,1217,14801720,10,621,199,148,7.01440922190202,52.0357436318817
OBH Anak Straw 100 ml,104,1548301,153,59,237,135,0.559139784946237,652.788461538462
OBH Anak Orange 55 ml,947,11488466,8,582,188,179,5.16076294277929,70.7259767687434
OBH Anak Orange 100 ml,43,643364,237,0,270,141,0.209245742092457,1744.36046511628
Lauramox,20,85000,60,0,80,0,0.5,730
Dexanel,390,1365000,3,433,49,149,3.93939393939394,92.6538461538462
Dermol,4,11774,0,599,0,596,0.013422818791946,27192.5
Flukol X-tra box,0,0,1400,0,1400,0,0,0
Kalk tab 30',968,8807978,12,576,116,123,8.10041841004184,45.0594008264463
Minyak kayu putih 30 ml,0,0,0,0,0,0,0,0
Minyak kayu putih 60 ml,0,0,0,0,0,0,0,0
Minyak Telon 30 ml,0,0,0,0,0,0,0,0
Minyak Telon 60 ml,0,0,0,0,0,0,0,0
Nellcoplus 100 ml,310,4675349,79,330,208,183,1.58567774936061,230.185483870968
Nellcoplus 55 ml,462,4998249,3,429,229,224,2.03973509933775,178.944805194805
OBH Berdahak 100 ml,324,3326533,123,0,929,604,0.422700587084149,863.49537037037
O B H Berdahak 55 ml,489,3728328,112,330,175,199,2.61497326203209,139.580777096115
OBH Spc Jahe 100 ml,555,10966966,85,476,61,170,4.80519480519481,75.9594594594595
OBH Madu 100 ml,514,10203621,146,527,138,122,3.95384615384615,92.3151750972763
OBH Jahe 55 ml,686,9722259,54,383,140,105,5.6,65.1785714285714
OBH Madu 55 ml,734,10489636,64,490,93,112,7.1609756097561,50.9707084468665
OBH 100 ml,21532,544148558,10,10763,2473,5399,5.47052845528455,66.7211592049043
OBH 30 ml,0,0,22,0,0,0,0,0
OBH 55 ml,24894,454319008,9,10746,1215,4674,8.45440652063169,43.1727524704748
OBH anak 100 ml,19,268628,301,3,231,0,0.164502164502165,2218.81578947368
OBH anak 30 ml,0,0,9,0,0,0,0,0
OBH anak 55 ml,244,2995676,241,279,319,43,1.34806629834254,270.758196721311
OBH Anak Sachet,30,33858,1410,1509,2835,1415,0.014117647058824,25854.1666666667
OBH sachet 7.5 ml   25',1425,1494387,43,1092,983,705,1.68838862559242,216.182456140351
Rh. Green balm I,186,1212345,8,0,430,231,0.562783661119516,648.561827956989
Rh. Inhaler,388,2708217,6,318,186,79,2.92830188679245,124.645618556701
Rh. Minyak Gosok 30 ml,0,0,0,0,0,0,0,0
Rh. Minyak Gosok 60 ml,0,0,0,0,0,0,0,0
Rh.Classic 15 gr,0,0,19,0,0,0,0,0
Rh.Classic 18 gr (kaca),0,0,76,0,66,7,0,0
Rh.White cream 18 gr,68856,382755522,157,38209,18492,85,7.41303762717339,49.2375755199256
Rh.Balsem Sereh 15 gr,0,0,0,0,0,0,0,0
Rh. Aromatherapy,0,0,24,0,24,0,0,0
Rh. Minyak Angin Putih roll on,17,147020,49,0,79,0,0.430379746835443,848.088235294118
Rod Lotion 100 ml,0,0,0,0,0,0,0,0
Rod Lotion 60 ml,0,0,13,0,0,0,0,0
Rod Powder 60 gr ,110,739913,25,0,301,167,0.47008547008547,776.454545454545
Rod Powder 100 gr ( 1C=144,140,1246459,14,248,18,186,1.37254901960784,265.928571428571
Rod Powder Nat 60 gr,62,345454,61,20,235,157,0.316326530612245,1153.87096774194
Rod Powder Nat 100 gr,57,415336,77,38,145,57,0.564356435643564,646.754385964912
Salicyl menthol 60 gr@ 18 ls,3401,14342948,30,1578,1665,669,2.91431019708655,125.244045868862
Salycil Mentol 90 gr @ 6 ls,9,45344,0,0,9,0,2,182.5
Salycil Non Mentol 60 gr,3275,13711345,38,1072,1128,816,3.36934156378601,108.329770992366
Salycil Non Mentol 90 gr,3,15115,42,0,45,0,0.133333333333333,2737.5
Salycil Cool n Fresh,23,87876,33,9,188,139,0.140672782874618,2594.67391304348
Salicyl genesis 60 gr@ 18 ls,306,1160274,9,216,172,83,2.4,152.083333333333
Aloha Ecopack 56's,4073,33365078,38,1424,424,693,7.29274843330349,50.0497176528357
Dinner Napkin,0,0,0,5,74,78,0,0
Facial polos large,263,3406837,17,125,55,83,3.81159420289855,95.7604562737643
Facial polos small,0,0,0,0,39,38,0,0
Facial Travel Pack 50's,2202,4496736,0,2124,1241,1406,1.6637703060068,219.381244323342
Facial Travel Pack Mini,811,4209611,5,498,331,325,2.47256097560976,147.620221948212
IPA 102 @72,1885,7821922,35,813,870,274,3.29545454545455,110.758620689655
IPB 101 @36,0,0,0,0,335,333,0,0
IPB 102 @72,1636,6756704,0,1368,760,713,2.22131704005431,164.316931540342
IPM 104 @36,0,0,17,3,202,152,0,0
IPN 104 @36,593,3920279,0,324,397,155,2.14855072463768,169.881956155143
IPN 110 @36,511,3362661,36,288,408,257,1.53684210526316,237.5
IPS 102 @36,114,836916,0,144,399,393,0.287878787878788,1267.89473684211
IPS 110 @36,678,5018089,32,396,308,231,2.51576994434137,145.084808259587
Martell lembaran 1 kg,1720,30355234,0,470,160,210,9.2972972972973,39.2587209302326
Martell lembaran 1/2 kg,782,6331222,19,595,184,139,4.8421052631579,75.3804347826087
Monalisa Jumbo,271,7010019,0,143,41,52,5.82795698924731,62.6291512915129
Monalisa Maternity,147,1709283,0,194,21,109,2.26153846153846,161.394557823129
Monalisa Plus 12,0,0,0,0,0,0,0,0
Monalisa Plus 6,0,0,0,0,0,0,0,0
Monalisa Special 8,0,0,0,0,0,0,0,0
Nasa Napkin,126082,258288134,190,26506,13734,17010,8.20205568566224,44.5010390063609
Nasa Napkin e-xtra 30's,1,1451,59,103,251,295,0.003663003663004,99645
Nasa Roll,58397,104679667,207,24507,13090,6133,6.0757426000104,60.0749610425193
PHB 54,5989,17554454,23,4352,1577,1240,4.25204117855875,85.8411253965604
Roll Tanpa Kor @ 20,15433,156553660,0,6027,2563,2925,5.62427113702624,64.8972979977969
Roll Tanpa Kor Polos @ 10,0,0,0,0,0,0,0,0
Sunbrite sabut cuci,432,741123,0,0,3142,2692,0.14809736030168,2464.59490740741
Sunbrite Spon,48,143180,0,3,1205,1172,0.040387042490534,9037.55208333334
Mkp Nellco 60 ml,0,0,4,0,0,0,0,0
Mkp Nellco 30 ml,0,0,71,0,0,0,0,0
Minyak Telon Nellco 60 ml,0,0,0,0,0,0,0,0
Minyak Telon Nellco 30 ml,0,0,0,0,0,0,0,0
IPA 108,0,0,0,0,37,37,0,0
IPA 111,0,0,0,1,19,19,0,0
IPA 103,0,0,54,0,311,256,0,0
