product,kuantitas_terjual,jumlah_transaksi,produk_rusak,sisa_produk,sisa_produk_awal,sisa_produk_akhir,hari_periode
OBH Anak Straw 55 ml,527,7351933,0,275,419,0,212
OBH Anak Straw 100 ml,243,4205149,0,25,214,0,212
OBH Anak Orange 55 ml,484,6769162,0,355,492,86,212
OBH Anak Orange 100 ml,36,590409,0,35,241,216,212
Lauramox,460,1839000,0,370,0,370,212
Dexanel,52,183000,0,0,143,95,212
Dermol,180,579394,0,12,523,379,212
Flukol X-tra box,0,0,0,0,0,0,212
Kalk tab 30',630,6283276,0,348,367,148,212
Minyak kayu putih 30 ml,0,0,0,0,0,0,212
Minyak kayu putih 60 ml,0,0,0,0,0,0,212
Minyak Telon 30 ml,0,0,0,0,0,0,212
Minyak Telon 60 ml,0,0,0,0,0,0,212
Nellcoplus 100 ml,302,5242003,0,7,440,202,212
Nellcoplus 55 ml,485,6105267,0,0,431,25,212
OBH Berdahak 100 ml,346,4172970,0,84,348,210,212
O B H Berdahak 55 ml,488,4294390,0,71,237,11,212
OBH Spc Jahe 100 ml,522,12301670,0,0,349,27,212
OBH Madu 100 ml,616,14465056,0,286,359,298,212
OBH Jahe 55 ml,629,10535551,0,569,276,528,212
OBH Madu 55 ml,730,12253498,0,648,183,500,212
OBH 100 ml,13258,387990169,0,8801,10369,3078,212
OBH 30 ml,0,0,0,0,0,0,212
OBH 55 ml,16617,351230543,0,9721,9761,1010,212
OBH anak 100 ml,0,0,0,0,0,0,212
OBH anak 30 ml,0,0,0,0,0,0,212
OBH anak 55 ml,42,558010,0,0,62,42,212
OBH Anak Sachet,0,0,0,0,0,0,212
OBH sachet 7.5 ml   25',0,0,0,1420,1125,2075,212
Rh. Green balm I,148,1042691,0,638,645,429,212
Rh. Inhaler,342,2641718,0,3,653,377,212
Rh. Minyak Gosok 30 ml,0,0,0,0,0,0,212
Rh. Minyak Gosok 60 ml,0,0,0,0,0,0,212
Rh.Classic 15 gr,0,0,0,0,0,0,212
Rh.Classic 18 gr (kaca),0,0,0,21,85,47,212
Rh.White cream 18 gr,31290,192377484,0,13183,33385,2898,212
Rh.Balsem Sereh 15 gr,0,0,0,0,0,0,212
Rh. Aromatherapy,48,447521,0,7,283,240,212
Rh. Minyak Angin Putih roll on,0,0,0,0,0,0,212
Rod Lotion 100 ml,0,0,0,0,0,0,212
Rod Lotion 60 ml,51,478998,0,4,72,39,212
Rod Powder 60 gr ,19,152017,0,0,237,230,212
Rod Powder 100 gr ( 1C=144,1,9897,0,1,214,213,212
Rod Powder Nat 60 gr,0,0,0,6,40,40,212
Rod Powder Nat 100 gr,0,0,0,1,6,6,212
Salicyl menthol 60 gr@ 18 ls,5108,23962677,0,2612,3243,206,212
Salycil Mentol 90 gr @ 6 ls,0,0,0,0,0,0,212
Salycil Non Mentol 60 gr,2194,10284996,0,2214,3057,1365,212
Salycil Non Mentol 90 gr,0,0,0,0,0,0,212
Salycil Cool n Fresh,55,229343,0,0,216,179,212
Salicyl genesis 60 gr@ 18 ls,140,582631,0,19,264,130,212
Aloha Ecopack 56's,635,5087945,0,0,812,314,212
Dinner Napkin,0,0,0,0,0,0,212
Facial polos large,365,4748449,0,387,138,407,212
Facial polos small,240,1575241,0,749,51,590,212
Facial Travel Pack 50's,257,587861,0,445,635,858,212
Facial Travel Pack Mini,72,368488,0,0,274,274,212
IPA 102 @72,0,0,0,23,201,201,212
IPB 101 @36,0,0,0,0,328,328,212
IPB 102 @72,0,0,0,0,110,110,212
IPM 104 @36,3,22737,0,0,98,95,212
IPN 104 @36,75,497487,0,72,34,67,212
IPN 110 @36,75,497487,0,0,134,59,212
IPS 102 @36,0,0,0,0,368,368,212
IPS 110 @36,12,102000,0,0,150,150,212
Martell lembaran 1 kg,380,6696348,0,358,347,346,212
Martell lembaran 1/2 kg,960,9594324,0,119,1048,367,212
Monalisa Jumbo,432,11025603,0,497,29,231,212
Monalisa Maternity,226,2617938,0,162,188,124,212
Monalisa Plus 12,0,0,0,0,0,0,212
Monalisa Plus 6,0,0,0,0,0,0,212
Monalisa Special 8,0,0,0,0,0,0,212
Nasa Napkin,6129,12627277,0,0,12280,6272,212
Nasa Napkin e-xtra 30's,0,0,0,0,0,0,212
Nasa Roll,7458,14070168,0,9573,8708,5952,212
PHB 54,201,605214,0,0,896,164,212
Roll Tanpa Kor @ 20,7458,14070168,0,1357,1282,1225,212
Roll Tanpa Kor Polos @ 10,123,1288645,0,37,256,154,212
Sunbrite sabut cuci,5,9792,0,0,2577,2572,212
Sunbrite Spon,0,0,0,0,1102,1102,212
Mkp Nellco 60 ml,0,0,0,0,0,0,212
Mkp Nellco 30 ml,0,0,0,0,0,0,212
Minyak Telon Nellco 60 ml,0,0,0,0,0,0,212
Minyak Telon Nellco 30 ml,0,0,0,0,0,0,212
IPA 108,0,0,0,0,2,2,212
IPA 111,0,0,0,0,0,0,212
IPA 103,0,0,0,0,24,24,212
IPA 110,0,0,0,0,0,0,212
IPA 105,0,0,0,0,181,181,212
IPB 103,0,0,0,2,248,248,212
IPS 104,0,0,0,0,0,0,212
