product,kuantitas_terjual,jumlah_transaksi,produk_rusak,sisa_produk_awal,sisa_produk_akhir
OBH Anak Straw 55 ml,1217,14801720,10,199,148
OBH Anak Straw 100 ml,104,1548301,153,237,135
OBH Anak Orange 55 ml,947,11488466,8,188,179
OBH Anak Orange 100 ml,43,643364,237,270,141
Lauramox,20,85000,60,80,0
Dexanel,390,1365000,3,49,149
Dermol,4,11774,0,0,596
Flukol X-tra box,0,0,1400,1400,0
Kalk tab 30',968,8807978,12,116,123
Minyak kayu putih 30 ml,0,0,0,0,0
Minyak kayu putih 60 ml,0,0,0,0,0
Minyak Telon 30 ml,0,0,0,0,0
Minyak Telon 60 ml,0,0,0,0,0
Nellcoplus 100 ml,310,4675349,79,208,183
Nellcoplus 55 ml,462,4998249,3,229,224
OBH Berdahak 100 ml,324,3326533,123,929,604
O B H Berdahak 55 ml,489,3728328,112,175,199
OBH Spc Jahe 100 ml,555,10966966,85,61,170
OBH Madu 100 ml,514,10203621,146,138,122
OBH Jahe 55 ml,686,9722259,54,140,105
OBH Madu 55 ml,734,10489636,64,93,112
OBH 100 ml,21532,544148558,10,2473,5399
OBH 30 ml,0,0,22,0,0
OBH 55 ml,24894,454319008,9,1215,4674
OBH anak 100 ml,19,268628,301,231,0
OBH anak 30 ml,0,0,9,0,0
OBH anak 55 ml,244,2995676,241,319,43
OBH Anak Sachet,30,33858,1410,2835,1415
OBH sachet 7.5 ml   25',1425,1494387,43,983,705
Rh. Green balm I,186,1212345,8,430,231
Rh. Inhaler,388,2708217,6,186,79
Rh. Minyak Gosok 30 ml,0,0,0,0,0
Rh. Minyak Gosok 60 ml,0,0,0,0,0
Rh.Classic 15 gr,0,0,19,0,0
Rh.Classic 18 gr (kaca),0,0,76,66,7
Rh.White cream 18 gr,68856,382755522,157,18492,85
Rh.Balsem Sereh 15 gr,0,0,0,0,0
Rh. Aromatherapy,0,0,24,24,0
Rh. Minyak Angin Putih roll on,17,147020,49,79,0
Rod Lotion 100 ml,0,0,0,0,0
Rod Lotion 60 ml,0,0,13,0,0
Rod Powder 60 gr ,110,739913,25,301,167
Rod Powder 100 gr ( 1C=144,140,1246459,14,18,186
Rod Powder Nat 60 gr,62,345454,61,235,157
Rod Powder Nat 100 gr,57,415336,77,145,57
Salicyl menthol 60 gr@ 18 ls,3401,14342948,30,1665,669
Salycil Mentol 90 gr @ 6 ls,9,45344,0,9,0
Salycil Non Mentol 60 gr,3275,13711345,38,1128,816
Salycil Non Mentol 90 gr,3,15115,42,45,0
Salycil Cool n Fresh,23,87876,33,188,139
Salicyl genesis 60 gr@ 18 ls,306,1160274,9,172,83
Aloha Ecopack 56's,4073,33365078,38,424,693
Dinner Napkin,0,0,0,74,78
Facial polos large,263,3406837,17,55,83
Facial polos small,0,0,0,39,38
Facial Travel Pack 50's,2202,4496736,0,1241,1406
Facial Travel Pack Mini,811,4209611,5,331,325
IPA 102 @72,1885,7821922,35,870,274
IPB 101 @36,0,0,0,335,333
IPB 102 @72,1636,6756704,0,760,713
IPM 104 @36,0,0,17,202,152
IPN 104 @36,593,3920279,0,397,155
IPN 110 @36,511,3362661,36,408,257
IPS 102 @36,114,836916,0,399,393
IPS 110 @36,678,5018089,32,308,231
Martell lembaran 1 kg,1720,30355234,0,160,210
Martell lembaran 1/2 kg,782,6331222,19,184,139
Monalisa Jumbo,271,7010019,0,41,52
Monalisa Maternity,147,1709283,0,21,109
Monalisa Plus 12,0,0,0,0,0
Monalisa Plus 6,0,0,0,0,0
Monalisa Special 8,0,0,0,0,0
Nasa Napkin,126082,258288134,190,13734,17010
Nasa Napkin e-xtra 30's,1,1451,59,251,295
Nasa Roll,58397,104679667,207,13090,6133
PHB 54,5989,17554454,23,1577,1240
Roll Tanpa Kor @ 20,15433,156553660,0,2563,2925
Roll Tanpa Kor Polos @ 10,0,0,0,0,0
Sunbrite sabut cuci,432,741123,0,3142,2692
Sunbrite Spon,48,143180,0,1205,1172
Mkp Nellco 60 ml,0,0,4,0,0
Mkp Nellco 30 ml,0,0,71,0,0
Minyak Telon Nellco 60 ml,0,0,0,0,0
Minyak Telon Nellco 30 ml,0,0,0,0,0
IPA 108,0,0,0,37,37
IPA 111,0,0,0,19,19
IPA 103,0,0,54,311,256
IPA 110,0,0,0,68,67
IPA 105,271,1994667,67,385,155
IPB 103,0,0,0,291,291
IPS 104,0,0,77,72,0
